Date,Price,Open,High,Low,Vol.,Change %
8/1/2006,85.05,85.28,85.75,84.39,,-0.29%
7/1/2006,85.3,85.2,87.33,84.77,,0.09%
6/1/2006,85.22,84.68,87.05,83.72,,0.59%
5/1/2006,84.72,85.93,86.36,83.6,,-1.61%
4/1/2006,86.11,89.74,90.4,86,,-4.03%
3/1/2006,89.73,90.08,91.16,88.85,,-0.42%
2/1/2006,90.11,88.96,91.02,88.84,,1.29%
1/1/2006,88.96,90.75,90.94,87.83,,-2.42%
12/1/2005,91.17,91.54,92.32,89.52,,-0.44%
11/1/2005,91.57,90.12,92.63,89.62,,1.67%
10/1/2005,90.07,89.51,90.74,88.53,,0.61%
9/1/2005,89.52,87.59,89.82,86.02,,2.22%
8/1/2005,87.58,89.41,89.44,86.76,,-1.98%
7/1/2005,89.35,89.17,90.77,88.28,,0.27%
6/1/2005,89.11,87.74,89.48,87.15,,1.54%
5/1/2005,87.76,84.46,87.8,83.75,,3.94%
4/1/2005,84.43,84.07,85.32,83.36,,0.44%
3/1/2005,84.06,82.65,84.74,81.28,,1.88%
2/1/2005,82.51,83.49,85.44,82.3,,-1.30%
1/1/2005,83.6,81.05,84.08,80.77,,3.40%
12/1/2004,80.85,81.81,83.18,80.39,,-1.19%
11/1/2004,81.82,84.7,85.66,81.53,,-3.64%
10/1/2004,84.91,87.41,88.64,84.73,,-2.80%
9/1/2004,87.36,88.91,89.75,87.35,,-1.78%
8/1/2004,88.94,89.71,90.19,87.66,,-1.13%
7/1/2004,89.96,88.84,90.29,87,,1.31%
6/1/2004,88.8,88.64,90.42,88.04,,-0.17%
5/1/2004,88.95,90.63,92.29,88.47,,-1.69%
4/1/2004,90.48,87.57,91.56,87.02,,3.28%
3/1/2004,87.61,87.1,89.84,87.03,,0.34%
2/1/2004,87.31,87.14,88.02,84.56,,0.13%
1/1/2004,87.2,86.79,88.07,84.8,,0.32%
12/1/2003,86.92,90.16,90.54,86.36,,-3.65%
11/1/2003,90.21,92.64,94.13,90.04,,-2.72%
10/1/2003,92.73,92.73,93.42,91.01,,-0.13%
9/1/2003,92.85,97.88,99.37,92.1,,-5.35%
8/1/2003,98.1,96.87,99.49,95.56,,1.25%
7/1/2003,96.89,94.54,97.45,93.96,,2.28%
6/1/2003,94.73,93.73,95.34,91.88,,1.57%
5/1/2003,93.27,97.18,97.25,92.21,,-4.03%
4/1/2003,97.19,98.86,101.81,97.1,,-1.89%
3/1/2003,99.06,99.74,102.15,97.57,,-0.65%
2/1/2003,99.71,100.26,100.89,98.65,,-0.20%
1/1/2003,99.91,102.36,103.2,98.76,,-1.90%
12/1/2002,101.85,106.57,107.31,101.82,,-4.29%
11/1/2002,106.41,106.55,106.97,104.12,,-0.22%
10/1/2002,106.64,106.74,108.74,106.54,,-0.22%
9/1/2002,106.87,106.43,109.67,105.41,,-0.10%
8/1/2002,106.98,107.61,109,106.18,,-0.40%
7/1/2002,107.41,105.76,107.88,103.54,,1.23%
6/1/2002,106.11,111.93,112.04,105.37,,-5.10%
5/1/2002,111.81,115.18,115.34,110.88,,-2.93%
4/1/2002,115.19,118.56,118.7,114.72,,-2.89%
3/1/2002,118.62,119.29,119.61,116.76,,-0.45%
2/1/2002,119.16,120.21,120.4,118.09,,-0.90%
1/1/2002,120.24,116.4,120.51,115.54,,2.99%
12/1/2001,116.75,115.61,118.26,114.43,,0.53%
11/1/2001,116.13,114.71,117.43,113.66,,1.11%
10/1/2001,114.86,113.69,116.27,112.27,,1.22%
9/1/2001,113.48,113.48,116.08,111.31,,0.05%
8/1/2001,113.42,117.07,117.16,112.32,,-3.21%
7/1/2001,117.18,119.39,121.02,116.34,,-1.88%
6/1/2001,119.43,119.11,120.33,117.43,,0.30%
5/1/2001,119.07,115.71,119.29,114.27,,2.78%
4/1/2001,115.85,117.7,117.82,113.86,,-1.30%
3/1/2001,117.37,112.04,117.63,110.82,,4.79%
2/1/2001,112.01,110.3,113.62,109.4,,1.35%
1/1/2001,110.52,109.33,112.65,108.09,,0.88%
12/1/2000,109.56,115.21,115.44,109.46,,-4.93%
11/1/2000,115.24,116.6,118.69,112.75,,-1.21%
10/1/2000,116.65,113.14,119.07,112.95,,3.00%
9/1/2000,113.25,112.36,116.75,111.25,,0.58%
8/1/2000,112.6,109.5,112.93,109.35,,2.77%
7/1/2000,109.57,106.82,109.92,106.7,,2.56%
6/1/2000,106.84,108.65,109.42,105.56,,-1.75%
5/1/2000,108.74,109.9,112.86,108.18,,-1.27%
4/1/2000,110.14,105.61,110.32,104.23,,4.46%
3/1/2000,105.44,106.22,106.61,104.48,,-0.45%
2/1/2000,105.92,104.98,106.86,102.92,,0.75%
1/1/2000,105.13,101.67,105.28,99.71,,3.20%
12/1/1999,101.87,101.98,102.76,100.49,,-0.12%
11/1/1999,101.99,98.98,102.34,98.72,,2.96%
10/1/1999,99.06,98.52,99.92,96.94,,0.53%
9/1/1999,98.54,100.04,101.27,98.26,,-1.41%
8/1/1999,99.95,99.97,101.46,98.88,,0.20%
7/1/1999,99.75,102.71,104.88,99.62,,-3.01%
6/1/1999,102.85,102.34,103.48,100.87,,0.33%
5/1/1999,102.51,100.96,102.64,99.35,,1.50%
4/1/1999,101,100.02,101.36,99.43,,0.90%
3/1/1999,100.1,98.89,100.79,98.16,,1.44%
2/1/1999,98.68,95.9,99.48,95.38,,2.71%
1/1/1999,96.08,94.75,96.24,93.05,,2.03%
12/1/1998,94.17,96.12,96.14,93.19,,-2.11%
11/1/1998,96.2,93.53,96.94,93.29,,2.64%
10/1/1998,93.73,96.12,96.31,90.57,,-2.54%
9/1/1998,96.17,99.72,100.13,95.41,,-4.02%
8/1/1998,100.2,101.12,102.88,99.7,,-0.99%
7/1/1998,101.2,101.02,102.67,100.19,,0.03%
6/1/1998,101.17,100.34,102.45,99.43,,0.72%
5/1/1998,100.45,99.74,100.66,98.57,,0.74%
4/1/1998,99.71,101.53,102.11,98.96,,-1.76%
3/1/1998,101.5,99.72,101.69,99.09,,1.68%
2/1/1998,99.82,100.78,101.04,98.51,,-0.96%
1/1/1998,100.79,99.24,101.68,97.67,,1.14%
12/1/1997,99.65,97.69,99.73,97.66,,1.90%
11/1/1997,97.79,95.57,97.99,94.73,,2.25%
10/1/1997,95.64,97.19,98.22,94.83,,-1.51%
9/1/1997,97.11,98.22,100.23,96.69,,-1.91%
8/1/1997,99,99.59,101.79,97.96,,-0.64%
7/1/1997,99.64,95.66,100,95.14,,4.15%
6/1/1997,95.67,95.06,96.22,94.42,,0.86%
5/1/1997,94.85,97.23,97.35,93.07,,-2.40%
4/1/1997,97.18,94.73,97.47,94.02,,2.60%
3/1/1997,94.72,94.98,96.32,94.18,,-0.18%
2/1/1997,94.89,93.04,95.8,92.87,,1.99%
1/1/1997,93.04,88.85,93.59,88.03,,5.51%
12/1/1996,88.18,87.95,89.14,87.69,,0.30%
11/1/1996,87.92,87.41,87.96,86.04,,0.56%
10/1/1996,87.43,87.88,88.53,86.93,,-0.58%
9/1/1996,87.94,86.49,88.12,86.32,,1.83%
8/1/1996,86.36,85.91,86.96,85.81,,0.54%
7/1/1996,85.9,87.94,88.32,85.63,,-2.19%
6/1/1996,87.82,87.78,88.56,87.35,,0.05%
5/1/1996,87.78,88.05,89.04,87.37,,-0.27%
4/1/1996,88.02,86.58,88.29,86.27,,1.73%
3/1/1996,86.52,86.25,87.12,86.08,,0.27%
2/1/1996,86.29,87.25,87.56,85.24,,-1.25%
1/1/1996,87.38,84.82,87.72,84.48,,3.09%
12/1/1995,84.76,85.17,85.63,84.34,,-0.59%
11/1/1995,85.26,83.67,85.38,83.34,,1.91%
10/1/1995,83.66,84.31,84.9,82.99,,-0.75%
9/1/1995,84.29,85.58,87.47,83.5,,-1.50%
8/1/1995,85.57,81.67,86.63,81.03,,4.90%
7/1/1995,81.57,81.55,82.8,81.22,,-0.01%
6/1/1995,81.58,82.71,83.58,81.35,,-1.20%
5/1/1995,82.57,81.87,84.84,80.55,,0.94%
4/1/1995,81.8,81.87,83.03,80.05,,-0.12%
3/1/1995,81.9,85.87,86.1,81.24,,-4.69%
2/1/1995,85.93,87.93,88.49,85.69,,-2.34%
1/1/1995,87.99,88.84,89.63,86.95,,-0.83%
12/1/1994,88.73,89.02,90.18,88.46,,-0.45%
11/1/1994,89.13,85.54,89.27,85.2,,4.01%
10/1/1994,85.69,87.72,88.37,84.91,,-2.49%
9/1/1994,87.88,89.71,89.72,87.14,,-2.00%
8/1/1994,89.67,89.39,90.31,87.41,,-0.22%
7/1/1994,89.87,89.55,90.56,86.65,,0.28%
6/1/1994,89.62,92.47,93.58,89.09,,-3.13%
5/1/1994,92.52,92.57,93.75,91.51,,0.43%
4/1/1994,92.12,93.38,95.33,91.71,,-1.01%
3/1/1994,93.06,94.61,95.42,92.86,,-1.58%
2/1/1994,94.55,95.46,97.1,94.34,,-1.09%
1/1/1994,95.59,96.76,97.09,95.15,,-1.29%
12/1/1993,96.84,96.21,96.85,94.67,,0.65%
11/1/1993,96.21,95.19,96.37,94.41,,1.19%
10/1/1993,95.08,92.8,95.34,91.21,,2.43%
9/1/1993,92.82,93.96,94.15,90.29,,-1.20%
8/1/1993,93.95,95.48,95.8,93.12,,-1.49%
7/1/1993,95.37,93.7,95.62,92.82,,1.86%
6/1/1993,93.63,89.1,94.15,88.85,,5.11%
5/1/1993,89.08,89.49,91.38,88.53,,-0.46%
4/1/1993,89.49,91.96,92.31,88.37,,-2.59%
3/1/1993,91.87,94.09,94.8,91.79,,-2.32%
2/1/1993,94.05,92.47,94.86,92.42,,1.72%
1/1/1993,92.46,92.17,93.75,90.09,,0.11%
12/1/1992,92.36,90.89,92.52,88.64,,1.67%
11/1/1992,90.84,87.71,91.55,87.7,,3.66%
10/1/1992,87.63,81.05,87.93,81.05,,8.05%
9/1/1992,81.1,78.84,85.96,78.19,,2.81%
8/1/1992,78.88,81.94,82.57,78.67,,-3.70%
7/1/1992,81.91,83.72,83.97,80.58,,-2.16%
6/1/1992,83.72,87.26,87.81,83.24,,-4.01%
5/1/1992,87.22,89.53,89.6,86.58,,-2.68%
4/1/1992,89.62,89.62,90.78,88.43,,-0.03%
3/1/1992,89.65,89.1,91.53,88.7,,0.74%
2/1/1992,88.99,87.14,89.92,85.23,,1.71%
1/1/1992,87.49,83.52,88.68,82.8,,4.75%
12/1/1991,83.52,87.54,87.87,83.21,,-5.30%
11/1/1991,88.19,89.72,89.76,86.26,,-1.93%
10/1/1991,89.93,90.01,92.03,89.39,,0.03%
9/1/1991,89.9,93.3,93.77,89.65,,-3.84%
8/1/1991,93.49,93.62,96.56,91.85,,0.00%
7/1/1991,93.49,96.07,97.32,92.89,,-2.68%
6/1/1991,96.06,93.73,96.75,93.02,,3.15%
5/1/1991,93.13,91.17,93.58,90.74,,1.74%
4/1/1991,91.54,91.32,94.46,89.29,,-0.52%
3/1/1991,92.02,84.71,92.46,84.23,,9.44%
2/1/1991,84.08,82.18,84.23,80.34,,2.54%
1/1/1991,82,83.37,85.22,81.91,,-1.29%
12/1/1990,83.07,83.52,85.39,81.73,,0.17%
11/1/1990,82.93,83.51,83.62,81.27,,-0.42%
10/1/1990,83.28,85.16,85.52,81.92,,-3.16%
9/1/1990,86,86.23,87.39,84.74,,-0.65%
8/1/1990,86.56,87.4,89.08,84.9,,-0.70%
7/1/1990,87.17,90.75,90.85,87.14,,-4.37%
6/1/1990,91.15,92.86,93.36,91.13,,-1.97%
5/1/1990,92.98,93.23,93.3,90.66,,-0.10%
4/1/1990,93.07,94.28,94.32,92.71,,-0.66%
3/1/1990,93.69,93.67,94.72,93.23,,0.43%
2/1/1990,93.29,92.32,93.45,91.26,,0.95%
1/1/1990,92.41,93.19,94.54,91.89,,-0.86%
12/1/1989,93.21,96.52,96.65,92.6,,-3.18%
11/1/1989,96.27,98.16,99.06,96.13,,-1.84%
10/1/1989,98.07,98.68,101.31,97.49,,-0.41%
9/1/1989,98.47,102.43,104.19,98.06,,-3.73%
8/1/1989,102.28,97.46,102.46,96.76,,5.02%
7/1/1989,97.39,101.21,101.24,97.29,,-4.54%
6/1/1989,102.02,103.08,106.56,100.66,,-0.93%
5/1/1989,102.98,98.06,104.28,97.89,,5.39%
4/1/1989,97.71,98.01,98.04,96.11,,-0.44%
3/1/1989,98.14,95.64,98.53,95.57,,3.41%
2/1/1989,94.9,96.68,97.17,94.39,,-1.93%
1/1/1989,96.77,92.6,96.84,91.77,,4.62%
12/1/1988,92.5,90.5,93.66,90.04,,2.18%
11/1/1988,90.53,93.69,93.96,90.05,,-3.44%
10/1/1988,93.76,97.65,97.65,92.82,,-4.02%
9/1/1988,97.69,98.55,98.83,96.83,,-0.74%
8/1/1988,98.42,97.42,99.61,96.86,,0.91%
7/1/1988,97.53,95.94,98.6,95.07,,2.22%
6/1/1988,95.41,90.86,96.09,90.49,,4.74%
5/1/1988,91.09,89.3,91.12,88.94,,2.16%
